fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
19045,694.9,1.3,1.3,2.5,3.5,3.9,4.6,3.7,4.4,3.6,2.6,2.6,1.9
19047,714.2,0.8,0.7,2.2,3.2,4.2,4.4,4.0,3.5,3.4,2.4,1.7,1.0
19049,588.5,0.8,1.0,2.2,3.3,4.3,4.7,4.2,4.1,3.3,2.6,2.0,1.1
19051,502.2,1.2,1.2,2.5,3.6,4.4,4.3,4.6,4.3,4.2,2.9,2.6,1.7
19053,531.9,0.9,1.1,2.3,3.6,4.2,4.4,4.7,4.1,4.1,3.0,2.4,1.3
19055,577.8,1.1,1.1,2.2,3.3,4.2,4.6,4.1,4.8,3.5,2.5,2.3,1.4
19057,416.1,1.3,1.4,2.7,3.5,4.1,4.2,4.2,4.1,3.9,2.7,2.7,2.0
19059,380.6,0.6,0.6,1.9,2.9,3.6,4.4,3.8,4.0,2.8,2.1,1.6,0.7
19061,608.3,1.1,1.2,2.3,3.3,4.0,4.5,3.9,4.6,3.6,2.4,2.4,1.5
19063,395.9,0.7,0.6,1.9,3.1,3.7,4.5,3.8,4.1,2.8,2.2,1.7,0.7
19065,730.8,1.0,1.0,2.0,3.5,4.1,4.7,4.3,4.9,3.5,2.5,2.3,1.3
19067,500.6,0.9,0.8,2.0,3.4,4.2,4.9,4.4,4.6,3.4,2.5,2.1,1.1
19069,582.0,0.8,0.8,2.0,3.2,4.2,4.9,4.2,4.3,3.3,2.6,2.0,1.1
19071,511.1,0.8,0.9,2.4,3.2,4.0,4.3,4.7,4.0,3.6,2.6,2.0,1.1
19073,569.6,0.9,0.8,2.2,3.2,4.3,4.7,4.2,4.0,3.2,2.5,1.9,1.1
19075,501.9,0.9,1.0,2.2,3.2,4.3,5.1,4.3,4.1,3.3,2.7,2.2,1.2
19077,590.6,0.9,1.0,2.3,3.3,4.3,4.6,4.3,4.0,3.4,2.5,1.9,1.2
19079,576.8,0.8,0.8,2.0,3.1,4.1,5.1,4.1,4.3,3.2,2.5,1.9,1.1
19081,571.0,0.8,0.7,1.9,3.1,4.0,4.7,4.3,4.2,3.2,2.4,1.9,1.0
19083,569.3,0.9,0.9,2.1,3.1,4.2,5.2,4.2,4.3,3.2,2.6,2.1,1.1
19085,696.8,0.7,0.7,2.2,3.1,4.3,4.2,3.9,3.4,3.3,2.5,1.6,0.9
19087,434.3,1.3,1.3,2.6,3.4,4.2,4.2,4.4,4.3,3.9,2.7,2.7,1.9
19089,473.2,0.9,0.8,2.1,3.5,4.0,4.6,4.5,4.6,3.6,2.5,2.2,1.2
19091,434.4,0.8,0.7,2.0,3.1,4.0,4.8,4.3,4.0,3.2,2.4,1.8,1.0
19093,431.5,0.7,0.7,2.1,3.1,3.9,4.4,3.9,3.7,3.2,2.4,1.6,0.9
19095,586.5,1.0,1.1,2.3,3.5,3.8,4.6,4.2,4.5,3.8,2.7,2.4,1.4
19097,636.0,1.2,1.3,2.4,3.4,4.1,4.5,3.6,4.5,3.7,2.5,2.5,1.7
19099,730.4,0.9,1.1,2.2,3.4,4.1,4.6,4.1,4.2,3.6,2.7,2.2,1.2
19101,435.5,1.2,1.2,2.4,3.3,4.2,4.1,4.5,4.3,4.1,2.7,2.5,1.7
19103,614.0,1.1,1.1,2.4,3.4,4.0,4.6,4.2,4.4,3.8,2.6,2.3,1.6
19105,575.6,1.1,1.2,2.3,3.3,4.2,4.6,3.9,4.5,3.6,2.5,2.4,1.6
19107,579.2,1.1,1.1,2.3,3.4,4.1,4.3,4.4,4.2,4.0,2.8,2.5,1.5
19109,972.7,0.8,0.6,1.9,3.1,3.9,4.6,4.1,4.2,2.9,2.3,1.8,0.9
19111,517.5,1.4,1.4,2.8,3.5,4.2,4.2,4.3,4.0,4.1,2.8,2.8,2.0
19113,716.9,1.1,1.1,2.2,3.4,4.3,4.7,4.1,4.5,3.7,2.5,2.4,1.5
19115,401.8,1.2,1.2,2.6,3.4,3.9,4.1,4.3,4.2,3.8,2.6,2.5,1.8
19117,430.6,0.9,1.1,2.2,3.6,4.2,4.6,4.6,4.1,4.2,2.9,2.4,1.3
19119,587.7,0.5,0.5,1.9,2.6,3.4,4.1,3.4,3.5,2.5,2.0,1.5,0.7
19121,561.0,0.9,1.0,2.2,3.6,4.0,4.6,4.4,4.1,3.7,2.7,2.2,1.2
19123,570.9,1.1,1.1,2.2,3.4,4.1,4.4,4.4,4.2,4.0,2.9,2.5,1.3
19125,554.5,1.0,1.0,2.1,3.5,4.1,4.5,4.3,4.1,3.9,2.8,2.3,1.2
19127,572.5,0.9,1.0,2.2,3.2,4.3,5.0,4.2,4.4,3.3,2.6,2.2,1.2
19129,437.4,0.8,0.8,2.2,3.2,4.4,4.4,4.6,3.9,3.6,2.5,1.9,1.0
19131,469.1,0.9,0.8,2.0,3.3,4.1,4.7,4.4,4.8,3.5,2.5,2.1,1.1
19133,694.1,0.7,0.7,2.1,3.1,4.1,4.1,3.7,3.3,3.1,2.4,1.6,0.9
19135,433.7,1.0,1.1,2.3,3.5,4.3,4.4,4.6,4.0,4.2,2.9,2.5,1.4
19137,424.1,0.9,1.0,2.3,3.4,4.0,4.6,4.8,4.2,3.9,2.6,2.0,1.1
19139,437.5,1.2,1.2,2.5,3.3,3.9,4.3,4.3,4.3,3.7,2.6,2.5,1.8
19141,573.0,0.6,0.6,1.9,2.9,3.6,4.5,3.8,4.0,2.8,2.1,1.6,0.7
19143,398.7,0.6,0.5,1.9,2.8,3.5,4.4,3.7,4.0,2.8,2.1,1.6,0.7
19145,534.9,0.8,1.0,2.3,3.4,4.5,4.5,4.8,4.1,3.9,2.7,2.1,1.1
19147,563.8,0.7,0.6,2.0,3.1,3.8,4.5,3.9,4.0,2.9,2.3,1.7,0.8
19149,862.9,0.6,0.6,1.9,2.7,3.7,4.0,3.6,3.1,2.6,2.1,1.6,0.7
19151,577.2,0.8,0.7,2.1,3.1,4.0,4.6,4.2,4.0,3.3,2.4,1.7,0.9
19153,573.8,0.9,1.0,2.2,3.3,4.2,4.7,4.1,4.3,3.4,2.7,2.0,1.1
19155,950.3,0.8,0.8,2.2,3.1,4.5,4.5,4.4,3.7,3.6,2.5,1.8,1.0
19157,584.9,1.1,1.1,2.3,3.5,3.8,4.6,4.3,4.4,3.8,2.8,2.4,1.3
19159,535.5,0.9,1.1,2.3,3.5,4.2,4.4,4.6,4.0,4.2,3.0,2.3,1.2
19161,575.0,0.8,0.7,2.2,3.2,4.1,4.5,4.1,3.8,3.4,2.4,1.7,1.0
19163,458.1,1.3,1.4,2.5,3.4,4.2,4.5,3.8,4.3,3.5,2.6,2.5,1.9
19165,590.8,0.8,0.8,2.2,3.3,4.3,4.5,4.2,3.8,3.7,2.6,1.8,1.0
19167,768.3,0.6,0.6,1.9,2.7,3.6,4.2,3.5,3.3,2.6,2.0,1.6,0.7
19169,572.8,0.8,0.9,2.1,3.2,4.2,5.1,4.3,4.2,3.1,2.6,2.0,1.1
19171,721.0,0.9,1.1,2.3,3.3,4.3,4.9,4.4,4.5,3.6,2.7,2.3,1.3
19173,531.9,0.9,1.0,2.3,3.4,4.6,4.5,4.8,4.1,4.1,2.9,2.2,1.2
19175,423.6,0.9,1.0,2.2,3.6,4.2,4.5,4.5,3.8,4.0,2.8,2.2,1.2
19177,484.8,1.2,1.2,2.5,3.5,4.0,4.1,4.5,4.2,4.1,2.9,2.7,1.8
19179,431.8,1.1,1.2,2.4,3.4,4.2,4.2,4.6,4.1,4.1,2.9,2.5,1.5
19181,569.8,0.9,1.1,2.2,3.5,4.0,4.5,4.3,4.2,3.8,2.8,2.2,1.2
19183,568.8,1.1,1.1,2.4,3.3,4.0,4.3,4.3,4.2,3.9,2.7,2.4,1.6
19185,525.4,0.9,1.1,2.3,3.6,4.3,4.5,4.8,4.1,4.1,3.0,2.4,1.4
19187,715.6,0.8,0.7,2.1,3.2,4.2,4.8,4.3,4.0,3.3,2.5,1.8,1.1
19189,400.5,0.8,0.7,1.9,3.2,4.0,4.8,4.3,4.4,3.0,2.4,1.9,1.0
19191,689.9,1.0,0.9,2.0,3.7,4.0,4.5,4.5,4.7,3.6,2.4,2.3,1.2
19193,872.8,0.6,0.6,2.0,2.9,3.9,4.1,3.6,3.3,2.9,2.2,1.5,0.8
19195,400.1,0.9,0.7,2.0,3.2,4.1,4.8,4.3,4.6,3.2,2.5,2.0,1.1
19197,580.4,0.8,0.8,2.1,3.2,4.2,4.9,4.2,4.2,3.2,2.5,1.9,1.1
20001,500.3,1.3,1.7,3.2,3.9,4.1,5.5,4.1,3.9,4.5,3.5,3.1,1.9
20003,579.7,1.3,1.4,3.0,3.8,4.4,5.5,4.1,3.8,4.5,3.7,2.9,1.7
20005,431.2,1.0,1.1,2.5,3.4,4.6,4.7,4.2,3.9,4.6,3.0,2.4,1.4
20007,1134.1,0.8,0.9,2.6,2.5,4.0,4.0,3.0,3.0,2.6,2.3,1.4,1.0
20009,895.4,0.7,0.8,2.2,2.3,3.7,3.5,3.4,3.0,2.3,1.9,1.2,0.8
20011,635.5,1.5,1.8,3.4,4.0,4.4,5.7,3.9,3.7,4.7,3.7,3.4,2.1
20013,570.9,0.9,1.0,2.5,3.4,4.6,4.4,4.4,3.9,4.3,2.8,2.3,1.2
20015,1429.9,0.9,1.2,2.8,3.2,4.6,5.1,3.6,3.5,3.4,2.8,2.4,1.4
20017,773.1,0.9,1.1,2.7,3.1,4.4,4.8,3.8,3.8,3.5,2.7,2.3,1.3
20019,638.9,1.2,1.6,3.2,3.7,4.9,4.8,3.5,3.3,4.3,2.9,2.9,1.8
20021,587.6,1.6,1.9,3.5,4.2,4.5,4.9,3.6,3.5,5.1,4.0,3.8,2.4
20023,1019.9,0.5,0.5,1.2,1.8,3.2,3.0,3.2,2.2,1.2,1.1,0.8,0.4
20025,974.6,0.6,0.7,1.9,2.0,3.5,3.3,3.0,2.6,2.1,1.7,1.0,0.7
20027,645.3,0.7,0.8,2.4,2.7,4.5,4.4,4.2,3.6,3.2,2.4,1.7,0.9
20029,715.3,0.7,0.8,2.3,2.5,4.2,3.9,4.2,3.4,2.8,2.2,1.6,0.9
20031,627.0,1.1,1.2,2.8,3.5,4.5,5.2,3.9,3.8,4.1,3.4,2.7,1.6
20033,788.3,0.7,0.8,2.2,2.2,3.9,3.8,2.9,2.9,2.4,2.0,1.3,0.8
20035,1125.8,1.0,1.4,2.9,3.4,4.2,4.6,3.4,3.3,3.6,3.0,2.5,1.5
20037,589.8,1.6,1.9,3.5,4.2,4.7,5.5,4.0,3.7,4.9,3.4,3.6,2.2
